index,SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
90,Our SongAnne-Marie,5/24/2021 4:03:00 PM,Anne-Marie,Our Song,Our Song,5/24/2021 10:03:00 PM
91,FinlandMonty Python,5/24/2021 3:57:00 PM,Monty Python,The Final Rip Off,Finland,5/24/2021 9:57:00 PM
92,Eric The Half A BeeMonty Python,5/24/2021 3:55:00 PM,Monty Python,The Final Rip Off,Eric The Half A Bee,5/24/2021 9:55:00 PM
93,Fish LicenceMonty Python,5/24/2021 3:52:00 PM,Monty Python,The Final Rip Off,Fish Licence,5/24/2021 9:52:00 PM
94,Constitutional PeasantMonty Python,5/24/2021 3:49:00 PM,Monty Python,The Final Rip Off,Constitutional Peasant,5/24/2021 9:49:00 PM
95,Introduction To 'The Final Rip Off'Monty Python,5/24/2021 3:48:00 PM,Monty Python,The Final Rip Off,Introduction To 'The Final Rip Off',5/24/2021 9:48:00 PM
96,Swift Driftin'Scott H. Biram,5/24/2021 3:47:00 PM,Scott H. Biram,The Bad Testament,Swift Driftin',5/24/2021 9:47:00 PM
97,Over the HillJohn Hiatt,5/24/2021 3:32:00 PM,John Hiatt,The Eclipse Sessions,Over the Hill,5/24/2021 9:32:00 PM
98,MollieC2 & the Brothers Reed,5/24/2021 3:28:00 PM,C2 & the Brothers Reed,Mollie,Mollie,5/24/2021 9:28:00 PM
99,Since I've Been Loving You - RemasterLed Zeppelin,5/24/2021 3:20:00 PM,Led Zeppelin,Led Zeppelin III (Remaster),Since I've Been Loving You - Remaster,5/24/2021 9:20:00 PM
100,Down To The BottomDorothy,5/24/2021 3:18:00 PM,Dorothy,Down To The Bottom,Down To The Bottom,5/24/2021 9:18:00 PM
101,The RecapThe Dead South,5/24/2021 3:15:00 PM,The Dead South,Good Company,The Recap,5/24/2021 9:15:00 PM
102,PainEarl St. Clair,5/24/2021 3:10:00 PM,Earl St. Clair,My Name Is Earl,Pain,5/24/2021 9:10:00 PM
103,Our SongAnne-Marie,5/24/2021 8:04:00 AM,Anne-Marie,Our Song,Our Song,5/24/2021 2:04:00 PM
104,All I Know So FarP!nk,5/24/2021 7:57:00 AM,P!nk,All I Know So Far,All I Know So Far,5/24/2021 1:57:00 PM
105,Leave Before You Love Me (with Jonas Brothers)Marshmello,5/24/2021 7:55:00 AM,Marshmello,Leave Before You Love Me,Leave Before You Love Me (with Jonas Brothers),5/24/2021 1:55:00 PM
106,DragulaRob Zombie,5/23/2021 7:29:00 PM,Rob Zombie,Hellbilly Deluxe,Dragula,5/24/2021 1:29:00 AM
107,Papa Come Quick (Jody And Chico)Bonnie Raitt,5/23/2021 7:26:00 PM,Bonnie Raitt,Luck Of The Draw,Papa Come Quick (Jody And Chico),5/24/2021 1:26:00 AM
108,MollieC2 & the Brothers Reed,5/23/2021 7:17:00 PM,C2 & the Brothers Reed,Mollie,Mollie,5/24/2021 1:17:00 AM
109,The Bad DaysDavid Ramirez,5/23/2021 7:13:00 PM,David Ramirez,The Rooster - EP,The Bad Days,5/24/2021 1:13:00 AM
110,In Too DeepSum 41,5/23/2021 7:09:00 PM,Sum 41,All Killer No Filler,In Too Deep,5/24/2021 1:09:00 AM
111,PeachesIn the Valley Below,5/23/2021 7:05:00 PM,In the Valley Below,The Belt,Peaches,5/24/2021 1:05:00 AM
112,CloseNick Jonas,5/23/2021 7:01:00 PM,Nick Jonas,Last Year Was Complicated,Close,5/24/2021 1:01:00 AM
113,CrazyKat Dahlia,5/23/2021 6:57:00 PM,Kat Dahlia,My Garden,Crazy,5/24/2021 12:57:00 AM
114,Bad ReputationThin Lizzy,5/23/2021 6:54:00 PM,Thin Lizzy,Dedication: The Very Best Of Thin Lizzy,Bad Reputation,5/24/2021 12:54:00 AM
115,Shoot High Aim LowYes,5/23/2021 6:47:00 PM,Yes,Big Generator,Shoot High Aim Low,5/24/2021 12:47:00 AM
116,Cocaine JesusRainbow Kitten Surprise,5/23/2021 6:43:00 PM,Rainbow Kitten Surprise,RKS,Cocaine Jesus,5/24/2021 12:43:00 AM
117,GiantMatrimony,5/23/2021 6:39:00 PM,Matrimony,Montibello Memories,Giant,5/24/2021 12:39:00 AM
118,94 HoursAs I Lay Dying,5/23/2021 6:33:00 PM,As I Lay Dying,Frail Words Collapse,94 Hours,5/24/2021 12:33:00 AM
119,DreadZion I,5/23/2021 6:30:00 PM,Zion I,The Sun Moon And Stars - EP,Dread,5/24/2021 12:30:00 AM
120,Smoke Out The WindowTribe Society,5/23/2021 6:27:00 PM,Tribe Society,We Sell Drugs,Smoke Out The Window,5/24/2021 12:27:00 AM
121,Smoke Out The WindowTribe Society,5/23/2021 6:23:00 PM,Tribe Society,We Sell Drugs,Smoke Out The Window,5/24/2021 12:23:00 AM
122,Boy Got it BadKail Baxley,5/23/2021 6:12:00 PM,Kail Baxley,Heatstroke / The Wind and the War,Boy Got it Bad,5/24/2021 12:12:00 AM
123,Better on a SundaySTS,5/23/2021 6:07:00 PM,STS,Better on a Sunday,Better on a Sunday,5/24/2021 12:07:00 AM
124,The Changing Man/While It Still Beats (Ouroboros Part 1)Ray LaMontagne,5/23/2021 6:04:00 PM,Ray LaMontagne,The Changing Man/While It Still Beats (Ouroboros Part 1),The Changing Man/While It Still Beats (Ouroboros Part 1),5/24/2021 12:04:00 AM
125,Sirens (feat. Dirty Heads)Sublime with Rome,5/23/2021 6:00:00 PM,Sublime with Rome,Sirens,Sirens (feat. Dirty Heads),5/24/2021 12:00:00 AM
126,This Is AmericaChildish Gambino,5/23/2021 5:56:00 PM,Childish Gambino,This Is America,This Is America,5/23/2021 11:56:00 PM
127,Chest Wide OpenLyrics Born,5/23/2021 5:15:00 PM,Lyrics Born,Real People,Chest Wide Open,5/23/2021 11:15:00 PM
