index,SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
25918,Know The DifferenceINXS,10/11/2019 1:47:00 PM,INXS,X,Know The Difference,10/11/2019 6:47:00 PM
25919,Secret WorldPeter Gabriel,10/11/2019 1:40:00 PM,Peter Gabriel,Us (Remastered Version),Secret World,10/11/2019 6:40:00 PM
25920,That Voice Again - 2012 RemasterPeter Gabriel,10/11/2019 1:35:00 PM,Peter Gabriel,So (2012 Remastered),That Voice Again - 2012 Remaster,10/11/2019 6:35:00 PM
25921,Don't Look BackHuey Lewis & The News,10/11/2019 1:31:00 PM,Huey Lewis & The News,Hard At Play,Don't Look Back,10/11/2019 6:31:00 PM
25922,Tall Cool One - 2006 RemasterRobert Plant,10/11/2019 1:26:00 PM,Robert Plant,Now and Zen,Tall Cool One - 2006 Remaster,10/11/2019 6:26:00 PM
25923,Mad About YouSting,10/11/2019 1:22:00 PM,Sting,The Soul Cages,Mad About You,10/11/2019 6:22:00 PM
25924,Walking Towards Paradise - 2006 RemasterRobert Plant,10/11/2019 1:17:00 PM,Robert Plant,Now and Zen,Walking Towards Paradise - 2006 Remaster,10/11/2019 6:17:00 PM
25925,Who Pays The PriceINXS,10/11/2019 1:14:00 PM,INXS,X,Who Pays The Price,10/11/2019 6:14:00 PM
25926,The StairsINXS,10/11/2019 1:09:00 PM,INXS,X,The Stairs,10/11/2019 6:09:00 PM
25927,Jeremiah Blues (Part 1)Sting,10/11/2019 12:18:00 PM,Sting,The Soul Cages,Jeremiah Blues (Part 1),10/11/2019 5:18:00 PM
25928,The Dream Of The Blue TurtlesSting,10/11/2019 12:17:00 PM,Sting,The Dream Of The Blue Turtles,The Dream Of The Blue Turtles,10/11/2019 5:17:00 PM
25929,Red BarchettaRush,10/11/2019 12:11:00 PM,Rush,Moving Pictures (2011 Remaster),Red Barchetta,10/11/2019 5:11:00 PM
25930,LimelightRush,10/11/2019 12:06:00 PM,Rush,Moving Pictures (2011 Remaster),Limelight,10/11/2019 5:06:00 PM
25931,Kiss That FrogPeter Gabriel,10/11/2019 11:25:00 AM,Peter Gabriel,Us (Remastered Version),Kiss That Frog,10/11/2019 4:25:00 PM
25932,Owner of a Lonely HeartYes,10/11/2019 11:20:00 AM,Yes,90125 (Deluxe Version),Owner of a Lonely Heart,10/11/2019 4:20:00 PM
25933,Children's CrusadeSting,10/11/2019 11:15:00 AM,Sting,The Dream Of The Blue Turtles,Children's Crusade,10/11/2019 4:15:00 PM
25934,Washing Of The WaterPeter Gabriel,10/11/2019 11:11:00 AM,Peter Gabriel,Us (Remastered Version),Washing Of The Water,10/11/2019 4:11:00 PM
25935,Helen of Troy - 2006 RemasterRobert Plant,10/11/2019 11:05:00 AM,Robert Plant,Now and Zen,Helen of Troy - 2006 Remaster,10/11/2019 4:05:00 PM
25936,Love Will Find a WayYes,10/11/2019 11:00:00 AM,Yes,Big Generator,Love Will Find a Way,10/11/2019 4:00:00 PM
25937,Suicide BlondeINXS,10/11/2019 10:56:00 AM,INXS,X,Suicide Blonde,10/11/2019 3:56:00 PM
25938,Blood Of EdenPeter Gabriel,10/11/2019 10:42:00 AM,Peter Gabriel,Us (Remastered Version),Blood Of Eden,10/11/2019 3:42:00 PM
25939,SteamPeter Gabriel,10/11/2019 10:36:00 AM,Peter Gabriel,Us (Remastered Version),Steam,10/11/2019 3:36:00 PM
25940,Bobo TempoHuey Lewis & The News,10/11/2019 10:31:00 AM,Huey Lewis & The News,Small World,Bobo Tempo,10/11/2019 3:31:00 PM
25941,Love Is The Seventh WaveSting,10/11/2019 10:27:00 AM,Sting,The Dream Of The Blue Turtles,Love Is The Seventh Wave,10/11/2019 3:27:00 PM
25942,We Work The Black SeamSting,10/11/2019 10:22:00 AM,Sting,The Dream Of The Blue Turtles,We Work The Black Seam,10/11/2019 3:22:00 PM
25943,Island Of SoulsSting,10/11/2019 10:15:00 AM,Sting,The Soul Cages,Island Of Souls,10/11/2019 3:15:00 PM
25944,All for YouStick Figure,10/11/2019 7:58:00 AM,Stick Figure,World on Fire,All for You,10/11/2019 12:58:00 PM
25945,ShineStick Figure,10/11/2019 7:14:00 AM,Stick Figure,World on Fire,Shine,10/11/2019 12:14:00 PM
25946,Angels Above MeStick Figure,10/11/2019 7:09:00 AM,Stick Figure,World on Fire,Angels Above Me,10/11/2019 12:09:00 PM
25947,Summertime (feat. Citizen Cope)Stick Figure,10/11/2019 7:05:00 AM,Stick Figure,World on Fire,Summertime (feat. Citizen Cope),10/11/2019 12:05:00 PM
25948,Burn the NightStick Figure,10/11/2019 7:00:00 AM,Stick Figure,World on Fire,Burn the Night,10/11/2019 12:00:00 PM
25949,World On fire (Feat. Slightly Stoopid)Stick Figure,10/11/2019 6:56:00 AM,Stick Figure,World on Fire,World On fire (Feat. Slightly Stoopid),10/11/2019 11:56:00 AM
25950,Rise and FallStick Figure,10/11/2019 6:52:00 AM,Stick Figure,World on Fire,Rise and Fall,10/11/2019 11:52:00 AM
25951,The Great UnknownStick Figure,10/11/2019 6:47:00 AM,Stick Figure,World on Fire,The Great Unknown,10/11/2019 11:47:00 AM
25952,Life is a PartyStick Figure,10/11/2019 6:43:00 AM,Stick Figure,World on Fire,Life is a Party,10/11/2019 11:43:00 AM
25953,Easy RunawayStick Figure,10/11/2019 6:39:00 AM,Stick Figure,World on Fire,Easy Runaway,10/11/2019 11:39:00 AM
25954,Welcome to the SunStick Figure,10/11/2019 6:34:00 AM,Stick Figure,World on Fire,Welcome to the Sun,10/11/2019 11:34:00 AM
25955,Cocoa de RockStick Figure,10/11/2019 6:30:00 AM,Stick Figure,World on Fire,Cocoa de Rock,10/11/2019 11:30:00 AM
25956,Once in a LifetimeStick Figure,10/11/2019 6:25:00 AM,Stick Figure,World on Fire,Once in a Lifetime,10/11/2019 11:25:00 AM
25957,The Night Santa Went CrazyWeird Al Yankovic,10/11/2019 6:20:00 AM,Weird Al Yankovic,Bad Hair Day,The Night Santa Went Crazy,10/11/2019 11:20:00 AM
25958,I Remember LarryWeird Al Yankovic,10/11/2019 6:17:00 AM,Weird Al Yankovic,Bad Hair Day,I Remember Larry,10/11/2019 11:17:00 AM
25959,Phony Calls (Parody of Waterfalls by TLC)Weird Al Yankovic,10/11/2019 6:17:00 AM,Weird Al Yankovic,Bad Hair Day,Phony Calls (Parody of Waterfalls by TLC),10/11/2019 11:17:00 AM
25960,Syndicated Inc. (Parody of Misery by Soul Asylum)Weird Al Yankovic,10/10/2019 7:56:00 PM,Weird Al Yankovic,Bad Hair Day,Syndicated Inc. (Parody of Misery by Soul Asylum),10/11/2019 12:56:00 AM
25961,I'm So Sick Of YouWeird Al Yankovic,10/10/2019 7:53:00 PM,Weird Al Yankovic,Bad Hair Day,I'm So Sick Of You,10/11/2019 12:53:00 AM
25962,GumpWeird Al Yankovic,10/10/2019 7:50:00 PM,Weird Al Yankovic,Bad Hair Day,Gump,10/11/2019 12:50:00 AM
25963,Since You've Been GoneWeird Al Yankovic,10/10/2019 7:49:00 PM,Weird Al Yankovic,Bad Hair Day,Since You've Been Gone,10/11/2019 12:49:00 AM
25964,The Alternative PolkaWeird Al Yankovic,10/10/2019 7:44:00 PM,Weird Al Yankovic,Bad Hair Day,The Alternative Polka,10/11/2019 12:44:00 AM
25965,Callin' In SickWeird Al Yankovic,10/10/2019 7:40:00 PM,Weird Al Yankovic,Bad Hair Day,Callin' In Sick,10/11/2019 12:40:00 AM
25966,Cavity Search (Parody of Hold Me Thrill Me Kiss Me Kill Me by U2)Weird Al Yankovic,10/10/2019 7:36:00 PM,Weird Al Yankovic,Bad Hair Day,Cavity Search (Parody of Hold Me Thrill Me Kiss Me Kill Me by U2),10/11/2019 12:36:00 AM
25967,Everything You Know Is WrongWeird Al Yankovic,10/10/2019 7:32:00 PM,Weird Al Yankovic,Bad Hair Day,Everything You Know Is Wrong,10/11/2019 12:32:00 AM
25968,Amish Paradise (Parody of Gangsta's Paradise by Coolio)Weird Al Yankovic,10/10/2019 7:29:00 PM,Weird Al Yankovic,Bad Hair Day,Amish Paradise (Parody of Gangsta's Paradise by Coolio),10/11/2019 12:29:00 AM
25969,TortureEric Krasno,10/10/2019 5:26:00 PM,Eric Krasno,Blood from a Stone,Torture,10/10/2019 10:26:00 PM
25970,Irie State (feat. Slightly Stoopid)Fortunate Youth,10/10/2019 5:21:00 PM,Fortunate Youth,fortunate youth,Irie State (feat. Slightly Stoopid),10/10/2019 10:21:00 PM
25971,Wild RideJimkata,10/10/2019 5:15:00 PM,Jimkata,In Motion,Wild Ride,10/10/2019 10:15:00 PM
25972,RingoAtmosphere,10/10/2019 5:10:00 PM,Atmosphere,Fishing Blues,Ringo,10/10/2019 10:10:00 PM
25973,Fire on the HorizonStick Figure,10/10/2019 5:04:00 PM,Stick Figure,Set in Stone,Fire on the Horizon,10/10/2019 10:04:00 PM
25974,Wind BlowBone Thugs-N-Harmony,10/10/2019 4:33:00 PM,Bone Thugs-N-Harmony,Strength & Loyalty,Wind Blow,10/10/2019 9:33:00 PM
25975,FridayDae Zhen,10/10/2019 4:11:00 PM,Dae Zhen,Friday,Friday,10/10/2019 9:11:00 PM
25976,Now or NeverHalsey,10/10/2019 4:08:00 PM,Halsey,hopeless fountain kingdom (Deluxe),Now or Never,10/10/2019 9:08:00 PM
25977,Bad at LoveHalsey,10/10/2019 4:05:00 PM,Halsey,hopeless fountain kingdom (Deluxe),Bad at Love,10/10/2019 9:05:00 PM
25978,I Want to Love YouLenachka,10/10/2019 4:00:00 PM,Lenachka,Lenachka,I Want to Love You,10/10/2019 9:00:00 PM
25979,FlowerchildColeman Hell,10/10/2019 3:57:00 PM,Coleman Hell,Summerland,Flowerchild,10/10/2019 8:57:00 PM
25980,Norman fucking RockwellLana Del Rey,10/10/2019 3:53:00 PM,Lana Del Rey,Norman Fucking Rockwell!,Norman fucking Rockwell,10/10/2019 8:53:00 PM
25981,Venice VentureBig Wild,10/10/2019 3:49:00 PM,Big Wild,Venice Venture,Venice Venture,10/10/2019 8:49:00 PM
25982,Big Girls Don't CryKarmin,10/10/2019 3:47:00 PM,Karmin,Dirty Dancing (Original Television Soundtrack),Big Girls Don't Cry,10/10/2019 8:47:00 PM
25983,Guys My Age - StrippedHey Violet,10/10/2019 3:42:00 PM,Hey Violet,Guys My Age (Stripped),Guys My Age - Stripped,10/10/2019 8:42:00 PM
25984,Only OneCarlie Hanson,10/10/2019 3:39:00 PM,Carlie Hanson,Only One,Only One,10/10/2019 8:39:00 PM
25985,Cinnamon GirlLana Del Rey,10/10/2019 3:34:00 PM,Lana Del Rey,Norman Fucking Rockwell!,Cinnamon Girl,10/10/2019 8:34:00 PM
25986,No Flex Zone (Remix)Karmin,10/10/2019 3:31:00 PM,Karmin,No Flex Zone (Remix) - Single,No Flex Zone (Remix),10/10/2019 8:31:00 PM
25987,American Muscle1 AMVRKA,10/10/2019 3:26:00 PM,1 AMVRKA,American Muscle,American Muscle,10/10/2019 8:26:00 PM
25988,HereAlessia Cara,10/10/2019 3:23:00 PM,Alessia Cara,Here,Here,10/10/2019 8:23:00 PM
25989,Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury]Daisy,10/10/2019 3:19:00 PM,Daisy,Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury],Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury],10/10/2019 8:19:00 PM
25990,Same Old LoveSelena Gomez,10/10/2019 3:15:00 PM,Selena Gomez,Revival (Deluxe),Same Old Love,10/10/2019 8:15:00 PM
25991,IssuesJulia Michaels,10/10/2019 3:12:00 PM,Julia Michaels,Nervous System,Issues,10/10/2019 8:12:00 PM
25992,PiecesTanlines,10/10/2019 3:09:00 PM,Tanlines,Highlights,Pieces,10/10/2019 8:09:00 PM
25993,7 ringsAriana Grande,10/10/2019 3:06:00 PM,Ariana Grande,7 rings,7 rings,10/10/2019 8:06:00 PM
25994,Make Me FeelJanelle Monáe,10/10/2019 3:02:00 PM,Janelle Monáe,Dirty Computer,Make Me Feel,10/10/2019 8:02:00 PM
25995,LydiaHighly Suspect,10/10/2019 2:58:00 PM,Highly Suspect,lydia,Lydia,10/10/2019 7:58:00 PM
25996,MudshovelStaind,10/10/2019 2:52:00 PM,Staind,Dysfunction (Internet Release),Mudshovel,10/10/2019 7:52:00 PM
25997,Check Your SystemcAPtIVa,10/10/2019 2:50:00 PM,cAPtIVa,Pay No Mind,Check Your System,10/10/2019 7:50:00 PM
25998,FanfareMagic City Hippies,10/10/2019 2:46:00 PM,Magic City Hippies,Hippie Castle - EP,Fanfare,10/10/2019 7:46:00 PM
25999,RóróróOf Monsters and Men,10/10/2019 2:41:00 PM,Of Monsters and Men,FEVER DREAM,Róróró,10/10/2019 7:41:00 PM
26000,Heart it RacesDr. Dog,10/10/2019 2:37:00 PM,Dr. Dog,Live At a Flamingo Hotel,Heart it Races,10/10/2019 7:37:00 PM
26001,WeakAJR,10/10/2019 2:34:00 PM,AJR,What Everyone's Thinking,Weak,10/10/2019 7:34:00 PM
26002,Die HappyDreamers,10/10/2019 2:30:00 PM,Dreamers,LAUNCH FLY LAND,Die Happy,10/10/2019 7:30:00 PM
26003,You Got ItWelshly Arms,10/10/2019 2:27:00 PM,Welshly Arms,Covers EP,You Got It,10/10/2019 7:27:00 PM
26004,Oh What A WorldRufus Wainwright,10/10/2019 2:23:00 PM,Rufus Wainwright,Want One,Oh What A World,10/10/2019 7:23:00 PM
26005,ProofreadDaniel Wilson,10/10/2019 2:18:00 PM,Daniel Wilson,Boy Who Cried Thunder EP,Proofread,10/10/2019 7:18:00 PM
26006,My Song 5HAIM,10/10/2019 2:14:00 PM,HAIM,Days Are Gone,My Song 5,10/10/2019 7:14:00 PM
26007,MapsYeah Yeah Yeahs,10/10/2019 2:11:00 PM,Yeah Yeah Yeahs,Fever To Tell,Maps,10/10/2019 7:11:00 PM
26008,NaturalImagine Dragons,10/10/2019 2:07:00 PM,Imagine Dragons,Origins (Deluxe),Natural,10/10/2019 7:07:00 PM
26009,Put Your Money on MeThe Struts,10/10/2019 2:04:00 PM,The Struts,Everybody Wants,Put Your Money on Me,10/10/2019 7:04:00 PM
26010,All Your Light (Times Like These)Portugal. The Man,10/10/2019 2:00:00 PM,Portugal. The Man,In the Mountain in the Cloud,All Your Light (Times Like These),10/10/2019 7:00:00 PM
26011,Light Will Keep Your Heart Beating in the FutureMike Doughty,10/10/2019 1:56:00 PM,Mike Doughty,Stellar Motel,Light Will Keep Your Heart Beating in the Future,10/10/2019 6:56:00 PM
26012,SoloMobley,10/10/2019 1:53:00 PM,Mobley,Fresh Lies Vol. I,Solo,10/10/2019 6:53:00 PM
26013,Date With the NightYeah Yeah Yeahs,10/10/2019 1:50:00 PM,Yeah Yeah Yeahs,Fever To Tell,Date With the Night,10/10/2019 6:50:00 PM
26014,HeartSlow Hollows,10/10/2019 1:45:00 PM,Slow Hollows,Heart,Heart,10/10/2019 6:45:00 PM
26015,I BeenBerhana,10/10/2019 1:42:00 PM,Berhana,I Been,I Been,10/10/2019 6:42:00 PM
26016,LovestainedHope Tala,10/10/2019 1:39:00 PM,Hope Tala,Lovestained,Lovestained,10/10/2019 6:39:00 PM
26017,single (on the weekend)Marcos G,10/10/2019 1:36:00 PM,Marcos G,single (on the weekend),single (on the weekend),10/10/2019 6:36:00 PM
26018,DangerousJON VINYL,10/10/2019 1:33:00 PM,JON VINYL,Dangerous,Dangerous,10/10/2019 6:33:00 PM
26019,BETTYJamila Woods,10/10/2019 1:30:00 PM,Jamila Woods,LEGACY! LEGACY!,BETTY,10/10/2019 6:30:00 PM
26020,To MeAlina Baraz,10/10/2019 1:21:00 PM,Alina Baraz,To Me,To Me,10/10/2019 6:21:00 PM
26021,nervousJonah Yano,10/10/2019 1:17:00 PM,Jonah Yano,nervous,nervous,10/10/2019 6:17:00 PM
26022,PaperAudrey,10/10/2019 1:15:00 PM,Audrey,Paper,Paper,10/10/2019 6:15:00 PM
26023,One SidedJoe Hertz,10/10/2019 1:11:00 PM,Joe Hertz,One Sided,One Sided,10/10/2019 6:11:00 PM
26024,Say It's FineKyle Lux,10/10/2019 1:08:00 PM,Kyle Lux,Say It's Fine,Say It's Fine,10/10/2019 6:08:00 PM
26025,right hereKeshi,10/10/2019 1:04:00 PM,Keshi,right here,right here,10/10/2019 6:04:00 PM
26026,BecomingDiana Gordon,10/10/2019 12:27:00 PM,Diana Gordon,Becoming,Becoming,10/10/2019 5:27:00 PM
26027,Land of HoneyFlying Lotus,10/10/2019 12:24:00 PM,Flying Lotus,Flamagra,Land of Honey,10/10/2019 5:24:00 PM
26028,Good LuckDijon,10/10/2019 12:23:00 PM,Dijon,Good Luck,Good Luck,10/10/2019 5:23:00 PM
26029,Something to FeelMac Ayres,10/10/2019 12:15:00 PM,Mac Ayres,Something to Feel,Something to Feel,10/10/2019 5:15:00 PM
26030,Jimmy ChooEBHONI,10/10/2019 12:12:00 PM,EBHONI,Jimmy Choo,Jimmy Choo,10/10/2019 5:12:00 PM
26031,No Buslophiile,10/10/2019 12:09:00 PM,lophiile,No Bus,No Bus,10/10/2019 5:09:00 PM
26032,Ford CardinalHalima,10/10/2019 12:06:00 PM,Halima,Ford Cardinal,Ford Cardinal,10/10/2019 5:06:00 PM
26033,Despacito - RemixLuis Fonsi,10/10/2019 12:03:00 PM,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),Despacito - Remix,10/10/2019 5:03:00 PM
26034,HOLD YAHRocstrong,10/10/2019 11:59:00 AM,Rocstrong,Hold Yah,HOLD YAH,10/10/2019 4:59:00 PM
26035,Brave Man's DeathJ Roddy Walston And The Business,10/10/2019 11:54:00 AM,J Roddy Walston And The Business,J. Roddy Walston & The Business,Brave Man's Death,10/10/2019 4:54:00 PM
26036,Want YouThe Wans,10/10/2019 11:50:00 AM,The Wans,The Wans - EP,Want You,10/10/2019 4:50:00 PM
26037,Bang BangLawrence Taylor,10/10/2019 10:56:00 AM,Lawrence Taylor,Bang Bang - Single,Bang Bang,10/10/2019 3:56:00 PM
26038,Come on in My KitchenWhitehorse,10/10/2019 10:48:00 AM,Whitehorse,The Northern South Vol. 1,Come on in My Kitchen,10/10/2019 3:48:00 PM
26039,SheeshJosh Sallee,10/10/2019 10:45:00 AM,Josh Sallee,Sheesh,Sheesh,10/10/2019 3:45:00 PM
26040,The TruthNonpoint,10/10/2019 10:41:00 AM,Nonpoint,Recoil (Explicit Content U.S. Version),The Truth,10/10/2019 3:41:00 PM
26041,The HoneyGrace,10/10/2019 10:37:00 AM,Grace,Memo,The Honey,10/10/2019 3:37:00 PM
26042,GoldKiiara,10/10/2019 10:33:00 AM,Kiiara,Low Kii Savage,Gold,10/10/2019 3:33:00 PM
26043,No DiabloUmphrey's McGee,10/10/2019 10:29:00 AM,Umphrey's McGee,Similar Skin,No Diablo,10/10/2019 3:29:00 PM
26044,HurricaneThe Band of Heathens,10/10/2019 10:20:00 AM,The Band of Heathens,Top Hat Crown & The Clapmaster 's Son,Hurricane,10/10/2019 3:20:00 PM
26045,Starin' At ItMaliibu N Helene,10/10/2019 10:16:00 AM,Maliibu N Helene,Starin' At It,Starin' At It,10/10/2019 3:16:00 PM
26046,Three WeeksPerpetual Groove,10/10/2019 8:49:00 AM,Perpetual Groove,Sweet Oblivious Antidote,Three Weeks,10/10/2019 1:49:00 PM
26047,awayjhfly,10/9/2019 8:41:00 PM,jhfly,even more sounds,away,10/10/2019 1:41:00 AM
26048,BlueH.1,10/9/2019 8:40:00 PM,H.1,Blue,Blue,10/10/2019 1:40:00 AM
26049,LuneHue Honey,10/9/2019 8:38:00 PM,Hue Honey,Hiraeth,Lune,10/10/2019 1:38:00 AM
26050,island[bsd.u],10/9/2019 8:37:00 PM,[bsd.u],late night bumps Vol. 2,island,10/10/2019 1:37:00 AM
26051,Sunday Afternoonoatmello,10/9/2019 8:36:00 PM,oatmello,Imperfections,Sunday Afternoon,10/10/2019 1:36:00 AM
26052,Touching SkinHigh John,10/9/2019 8:35:00 PM,High John,Lights,Touching Skin,10/10/2019 1:35:00 AM
26053,Hang onNalim,10/9/2019 8:34:00 PM,Nalim,Complex Channel Collective Tapes Vol. 3,Hang on,10/10/2019 1:34:00 AM
26054,study beattowser,10/9/2019 8:33:00 PM,towser,Just Kids,study beat,10/10/2019 1:33:00 AM
26055,goneLinanthem,10/9/2019 8:31:00 PM,Linanthem,fourtwenty mixtape,gone,10/10/2019 1:31:00 AM
26056,I need to paint my wallsA L E X,10/9/2019 8:30:00 PM,A L E X,Chillhop Essentials Winter 2018,I need to paint my walls,10/10/2019 1:30:00 AM
26057,Things will be better soonL u c i d,10/9/2019 8:29:00 PM,L u c i d,Original Clouds // Lime,Things will be better soon,10/10/2019 1:29:00 AM
26058,Fragile Steviejobii,10/9/2019 8:27:00 PM,jobii,Runoff,Fragile Stevie,10/10/2019 1:27:00 AM
26059,Coffee And UnicornsHenyao,10/9/2019 8:25:00 PM,Henyao,Coffee And Unicorns,Coffee And Unicorns,10/10/2019 1:25:00 AM
26060,The WriterSmartface,10/9/2019 8:23:00 PM,Smartface,Easy Feet,The Writer,10/10/2019 1:23:00 AM
26061,reflectnsSaiko,10/9/2019 8:21:00 PM,Saiko,In Space,reflectns,10/10/2019 1:21:00 AM
26062,Old Roots New TreesMade in M,10/9/2019 8:20:00 PM,Made in M,Nest,Old Roots New Trees,10/10/2019 1:20:00 AM
26063,EchoesDontcry,10/9/2019 8:19:00 PM,Dontcry,Echoes,Echoes,10/10/2019 1:19:00 AM
26064,Sad SakLunchmoney,10/9/2019 8:18:00 PM,Lunchmoney,Sad Sak,Sad Sak,10/10/2019 1:18:00 AM
26065,just youAmeba,10/9/2019 8:16:00 PM,Ameba,Wish You Were Here,just you,10/10/2019 1:16:00 AM
26066,Harbour Beachdrkmnd,10/9/2019 8:14:00 PM,drkmnd,Port Nostalgia,Harbour Beach,10/10/2019 1:14:00 AM
26067,Willow TreeSyndrome,10/9/2019 8:13:00 PM,Syndrome,The Local Boy Tape,Willow Tree,10/10/2019 1:13:00 AM
26068,RomantiqueKazam,10/9/2019 8:11:00 PM,Kazam,Romantique,Romantique,10/10/2019 1:11:00 AM
26069,LighthouseEngelwood,10/9/2019 8:08:00 PM,Engelwood,Boardwalk Bumps,Lighthouse,10/10/2019 1:08:00 AM
26070,Magua.Mora,10/9/2019 8:07:00 PM,Mora,Magua.,Magua.,10/10/2019 1:07:00 AM
26071,iciclesFlavors,10/9/2019 8:06:00 PM,Flavors,snowscape 2 [mini tape],icicles,10/10/2019 1:06:00 AM
26072,DaydreamsCozy Collective,10/9/2019 8:03:00 PM,Cozy Collective,Cozy in Bloom Vol. 2,Daydreams,10/10/2019 1:03:00 AM
26073,PalmaSumwun,10/9/2019 8:02:00 PM,Sumwun,La Planta,Palma,10/10/2019 1:02:00 AM
26074,descendingIlliterate,10/9/2019 8:01:00 PM,Illiterate,YGCBEATS002 : Illiterate,descending,10/10/2019 1:01:00 AM
26075,Loved Onesbluntone,10/9/2019 7:59:00 PM,bluntone,Loved Ones,Loved Ones,10/10/2019 12:59:00 AM
26076,Hokema GuyHM SURF,10/9/2019 7:58:00 PM,HM SURF,Waterbed,Hokema Guy,10/10/2019 12:58:00 AM
26077,Sk8teing in Central ParkWun Two,10/9/2019 7:57:00 PM,Wun Two,Snow Vol. 2,Sk8teing in Central Park,10/10/2019 12:57:00 AM
26078,ExcursionDylan Sitts,10/9/2019 7:55:00 PM,Dylan Sitts,Swimmingly,Excursion,10/10/2019 12:55:00 AM
26079,Sleeping on the BlacktopColter Wall,10/9/2019 7:16:00 PM,Colter Wall,Imaginary Appalachia,Sleeping on the Blacktop,10/10/2019 12:16:00 AM
26080,All My LoveStick Figure,10/9/2019 7:11:00 PM,Stick Figure,Set in Stone,All My Love,10/10/2019 12:11:00 AM
26081,Every Little Thing She Does Is MagicThe Police,10/9/2019 4:51:00 PM,The Police,Ghost In The Machine (Remastered),Every Little Thing She Does Is Magic,10/9/2019 9:51:00 PM
26082,Born in the U.S.A.Bruce Springsteen,10/9/2019 4:47:00 PM,Bruce Springsteen,Born in the U.S.A.,Born in the U.S.A.,10/9/2019 9:47:00 PM
26083,Walk This Way (feat. Aerosmith)Run–D.M.C.,10/9/2019 4:41:00 PM,Run–D.M.C.,Raising Hell,Walk This Way (feat. Aerosmith),10/9/2019 9:41:00 PM
26084,Lucky StarMadonna,10/9/2019 4:36:00 PM,Madonna,Madonna,Lucky Star,10/9/2019 9:36:00 PM
26085,End of the LineTraveling Wilburys,10/9/2019 4:32:00 PM,Traveling Wilburys,The Traveling Wilburys Vol. 1,End of the Line,10/9/2019 9:32:00 PM
26086,I Won't Back DownTom Petty,10/9/2019 4:29:00 PM,Tom Petty,Full Moon Fever,I Won't Back Down,10/9/2019 9:29:00 PM
26087,Magic MountainFireKid,10/9/2019 4:15:00 PM,FireKid,Firekid,Magic Mountain,10/9/2019 9:15:00 PM
26088,PowerfulMajor Lazer,10/9/2019 4:11:00 PM,Major Lazer,Peace Is the Mission,Powerful,10/9/2019 9:11:00 PM
26089,Cupid's Chokehold / Breakfast in AmericaGym Class Heroes,10/9/2019 4:06:00 PM,Gym Class Heroes,The Papercut Chronicles,Cupid's Chokehold / Breakfast in America,10/9/2019 9:06:00 PM
26090,Fantastic LoveThe Floozies,10/9/2019 4:02:00 PM,The Floozies,Do Your Thing,Fantastic Love,10/9/2019 9:02:00 PM
26091,Here Comes the Hotstepper - Heartical MixIni Kamoze,10/9/2019 3:58:00 PM,Ini Kamoze,On Your 90's Radio,Here Comes the Hotstepper - Heartical Mix,10/9/2019 8:58:00 PM
26092,Good IntentionsRobert Ellis,10/9/2019 3:55:00 PM,Robert Ellis,The Lights from the Chemical Plant,Good Intentions,10/9/2019 8:55:00 PM
26093,The Hurricane's EyeJesse Roper,10/9/2019 3:52:00 PM,Jesse Roper,Red Bird,The Hurricane's Eye,10/9/2019 8:52:00 PM
26094,What's The DifferenceDr. Dre,10/9/2019 3:48:00 PM,Dr. Dre,2001,What's The Difference,10/9/2019 8:48:00 PM
26095,Letting InBeauville,10/9/2019 3:45:00 PM,Beauville,Letting In,Letting In,10/9/2019 8:45:00 PM
26096,Re.UpRationale,10/9/2019 3:34:00 PM,Rationale,Re.Up,Re.Up,10/9/2019 8:34:00 PM
26097,Letting InBeauville,10/9/2019 3:29:00 PM,Beauville,Letting In,Letting In,10/9/2019 8:29:00 PM
26098,Guys My AgeHey Violet,10/9/2019 3:26:00 PM,Hey Violet,Guys My Age,Guys My Age,10/9/2019 8:26:00 PM
26099,Love Sex And Fancy ThingsThe Floozies,10/9/2019 3:20:00 PM,The Floozies,Tell Your Mother,Love Sex And Fancy Things,10/9/2019 8:20:00 PM
26100,I Can't WaitStar & Micey,10/9/2019 3:17:00 PM,Star & Micey,I Can't Wait,I Can't Wait,10/9/2019 8:17:00 PM
26101,TortureEric Krasno,10/9/2019 3:14:00 PM,Eric Krasno,Blood from a Stone,Torture,10/9/2019 8:14:00 PM
26102,Cocaine JesusRainbow Kitten Surprise,10/9/2019 3:10:00 PM,Rainbow Kitten Surprise,RKS,Cocaine Jesus,10/9/2019 8:10:00 PM
26103,Elevator OperatorCourtney Barnett,10/9/2019 3:07:00 PM,Courtney Barnett,Sometimes I Sit and Think and Sometimes I Just Sit,Elevator Operator,10/9/2019 8:07:00 PM
26104,RiverbottomJonathan Tyler & The Northern Lights,10/9/2019 3:03:00 PM,Jonathan Tyler & The Northern Lights,Holy Smokes,Riverbottom,10/9/2019 8:03:00 PM
26105,Love Me TenderlyThe Felice Brothers,10/9/2019 3:00:00 PM,The Felice Brothers,The Felice Brothers,Love Me Tenderly,10/9/2019 8:00:00 PM
